,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
324,lira,29,class,4,2500,2500,0.0356,0.6331,0.5117,0.1232,0.0004
325,lira,29,class,5,2500,2500,0.0212,0.6721,0.5074,0.1068,0.0012
326,lira,29,class,6,2500,2500,0.0264,0.5714,0.5120,0.1136,0.0008
327,lira,29,class,7,2500,2500,0.0288,0.6667,0.5097,0.0980,0.0004
328,lira,29,class,8,2500,2500,0.0276,1.0000,0.5103,0.1028,0.0024
329,lira,29,class,9,2500,2500,0.0584,1.0000,0.5273,0.1000,0.0028
330,lira,30,Entire dataset,,25000,25000,0.0268,0.5971,0.5169,0.1096,0.0012
331,lira,30,class,0,2500,2500,0.0236,0.6667,0.5065,0.1072,0.0016
332,lira,30,class,1,2500,2500,0.0268,0.7273,0.5129,0.1080,0.0000
333,lira,30,class,2,2500,2500,0.0488,0.6071,0.5218,0.1076,0.0004
334,lira,30,class,3,2500,2500,0.0340,0.8000,0.5151,0.1168,0.0028
335,lira,30,class,4,2500,2500,0.0428,0.8387,0.5264,0.1136,0.0020
336,lira,30,class,5,2500,2500,0.0536,0.8000,0.5261,0.1076,0.0028
337,lira,30,class,6,2500,2500,0.0492,1.0000,0.5279,0.1212,0.0036
338,lira,30,class,7,2500,2500,0.0172,0.6154,0.5034,0.1128,0.0000
339,lira,30,class,8,2500,2500,0.0300,0.7500,0.5139,0.1096,0.0000
340,lira,30,class,9,2500,2500,0.0396,0.7500,0.5169,0.1040,0.0004
341,lira,31,Entire dataset,,25000,25000,0.0273,0.7879,0.5166,0.1146,0.0022
342,lira,31,class,0,2500,2500,0.0460,1.0000,0.5270,0.1268,0.0040
343,lira,31,class,1,2500,2500,0.0256,1.0000,0.5067,0.1060,0.0048
344,lira,31,class,2,2500,2500,0.0256,0.5395,0.5083,0.1112,0.0004
345,lira,31,class,3,2500,2500,0.0320,0.5750,0.5128,0.1232,0.0000
346,lira,31,class,4,2500,2500,0.0568,1.0000,0.5291,0.1296,0.0028
347,lira,31,class,5,2500,2500,0.0332,1.0000,0.5129,0.1024,0.0024
348,lira,31,class,6,2500,2500,0.0368,0.5455,0.5097,0.1008,0.0000
349,lira,31,class,7,2500,2500,0.0256,0.7500,0.5067,0.1052,0.0012
350,lira,31,class,8,2500,2500,0.0492,0.8889,0.5242,0.1280,0.0032
351,lira,31,class,9,2500,2500,0.0484,0.7500,0.5266,0.1140,0.0008
352,lira,32,Entire dataset,,25000,25000,0.0194,0.6667,0.5126,0.1074,0.0017
353,lira,32,class,0,2500,2500,0.0604,0.7692,0.5321,0.1304,0.0008
354,lira,32,class,1,2500,2500,0.0420,1.0000,0.5175,0.1072,0.0036
355,lira,32,class,2,2500,2500,0.0152,0.5253,0.4986,0.1080,0.0000
356,lira,32,class,3,2500,2500,0.0300,0.6667,0.5133,0.1060,0.0000
357,lira,32,class,4,2500,2500,0.0428,1.0000,0.5225,0.1068,0.0028
358,lira,32,class,5,2500,2500,0.0440,0.7778,0.5211,0.1096,0.0028
359,lira,32,class,6,2500,2500,0.0288,0.6000,0.5045,0.1028,0.0004
360,lira,32,class,7,2500,2500,0.0236,0.8000,0.5076,0.1152,0.0016
361,lira,32,class,8,2500,2500,0.0232,0.7500,0.4969,0.0780,0.0012
362,lira,32,class,9,2500,2500,0.0280,1.0000,0.5148,0.1044,0.0016
mean Entire dataset,lira,,,,,,0.0243,0.6225,0.5154,0.1092,0.0013
mean CLASS=0,lira,,,,,,0.0374,0.7895,0.5170,0.1089,0.0012
mean CLASS=1,lira,,,,,,0.0316,0.7345,0.5118,0.1045,0.0012
mean CLASS=2,lira,,,,,,0.0392,0.8019,0.5192,0.1126,0.0016
mean CLASS=3,lira,,,,,,0.0375,0.7267,0.5183,0.1120,0.0012
mean CLASS=4,lira,,,,,,0.0403,0.7855,0.5196,0.1136,0.0017
mean CLASS=5,lira,,,,,,0.0397,0.7250,0.5194,0.1112,0.0012
mean CLASS=6,lira,,,,,,0.0339,0.7282,0.5141,0.1089,0.0012
mean CLASS=7,lira,,,,,,0.0312,0.7049,0.5116,0.1103,0.0009
mean CLASS=8,lira,,,,,,0.0270,0.7351,0.5080,0.1020,0.0010
mean CLASS=9,lira,,,,,,0.0391,0.7664,0.5182,0.1097,0.0011
std Entire dataset,lira,,,,,,0.0035,0.0702,0.0023,0.0026,0.0003
std CLASS=0,lira,,,,,,0.0110,0.1494,0.0081,0.0096,0.0010
std CLASS=1,lira,,,,,,0.0088,0.1415,0.0080,0.0069,0.0013
std CLASS=2,lira,,,,,,0.0105,0.1643,0.0096,0.0079,0.0014
