,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
184,lira,16,class,7,3132,3133,0.0408,1.0000,0.5308,0.1239,0.0089
185,lira,16,class,8,2925,2926,0.0809,1.0000,0.5583,0.1463,0.0267
186,lira,16,class,9,2974,2975,0.0665,1.0000,0.5426,0.1358,0.0205
187,lira,17,Entire dataset,,29997,30003,0.0506,1.0000,0.5410,0.1364,0.0190
188,lira,17,class,0,2961,2962,0.0400,1.0000,0.5214,0.1104,0.0037
189,lira,17,class,1,3371,3371,0.0365,1.0000,0.5212,0.1095,0.0098
190,lira,17,class,2,2979,2979,0.0896,1.0000,0.5663,0.1497,0.0393
191,lira,17,class,3,3065,3066,0.0675,1.0000,0.5492,0.1383,0.0088
192,lira,17,class,4,2921,2921,0.0407,1.0000,0.5268,0.1325,0.0134
193,lira,17,class,5,2710,2711,0.0691,1.0000,0.5470,0.1561,0.0284
194,lira,17,class,6,2959,2959,0.0703,1.0000,0.5438,0.1257,0.0132
195,lira,17,class,7,3132,3133,0.0514,1.0000,0.5349,0.1501,0.0201
196,lira,17,class,8,2925,2926,0.0735,1.0000,0.5496,0.1474,0.0215
197,lira,17,class,9,2974,2975,0.0752,1.0000,0.5552,0.1443,0.0195
198,lira,18,Entire dataset,,29997,30003,0.0495,1.0000,0.5415,0.1370,0.0188
199,lira,18,class,0,2961,2962,0.0373,1.0000,0.5224,0.1196,0.0095
200,lira,18,class,1,3371,3371,0.0359,1.0000,0.5205,0.1169,0.0136
201,lira,18,class,2,2979,2979,0.0785,1.0000,0.5503,0.1517,0.0262
202,lira,18,class,3,3065,3066,0.0574,1.0000,0.5393,0.1347,0.0166
203,lira,18,class,4,2921,2921,0.0561,1.0000,0.5415,0.1380,0.0171
204,lira,18,class,5,2710,2711,0.0744,1.0000,0.5565,0.1472,0.0273
205,lira,18,class,6,2959,2959,0.0608,1.0000,0.5444,0.1359,0.0182
206,lira,18,class,7,3132,3133,0.0624,1.0000,0.5456,0.1430,0.0163
207,lira,18,class,8,2925,2926,0.0633,1.0000,0.5502,0.1508,0.0191
208,lira,18,class,9,2974,2975,0.0702,1.0000,0.5477,0.1412,0.0215
209,lira,19,Entire dataset,,29997,30003,0.0507,1.0000,0.5435,0.1383,0.0183
210,lira,19,class,0,2961,2962,0.0237,1.0000,0.5097,0.1104,0.0132
211,lira,19,class,1,3371,3371,0.0430,1.0000,0.5290,0.1296,0.0148
212,lira,19,class,2,2979,2979,0.0866,1.0000,0.5683,0.1628,0.0138
213,lira,19,class,3,3065,3066,0.0688,1.0000,0.5528,0.1462,0.0206
214,lira,19,class,4,2921,2921,0.0626,1.0000,0.5444,0.1397,0.0099
215,lira,19,class,5,2710,2711,0.0693,1.0000,0.5533,0.1565,0.0269
